track_number,timestamp,timestamp_seconds,artist,title,label,video_title,video_url,video_id,upload_date,category
16,57:22,3442,Transient Disorder & Spiritual Mode,True Hallucination (Aktyum rmx),Dacru Records,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
17,1:01:04,3664,X-Side,Electric Nature,Sahman Records,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
18,1:04:33,3873,Aloom,Midare,Digital Om,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
19,1:07:36,4056,Audiosonic,The world is changed,United Beats Records,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
20,1:11:35,4295,Jumpstreet & Siloka,Overmotivated,Looney Moon Records,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
21,1:14:50,4490,Electric Universe,Life on Mars,Future Music Records,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
22,1:18:37,4717,"Spinal Fusion, Spectra Sonics",Rising Sun,Profound Records,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
23,1:22:05,4925,Ovnimoon & Via Axis & iTom Lab,Galactic Mantra (Psymon rmx),Phantasm Records,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
24,1:25:22,5122,Fiction(RS),World Domination,Prophecy Records,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
25,1:29:30,5370,Dial and Avan7,Bambar,Sonoora Records,Psychedelic Trance mix II September 2025,https://youtube.com/watch?v=IZrdCxSzy-I,IZrdCxSzy-I,2025-09-28,Psychedelic Trance
